"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","21.5","1.56e-7","5.20e-8","-2.2","-","60.73","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","118.14","3.89e-7","6.70e-8","-2.2","-","57.87","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","39.35","2.38e-7","6.00e-8","-2.2","-","55.00","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","56.51","2.16e-7","5.20e-8","-2.2","-","52.13","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","128.62","3.93e-7","6.40e-8","-2.2","-","49.25","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","100.96","3.93e-7","7.00e-8","-2.2","-","46.36","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","150.44","4.38e-7","6.60e-8","-2.2","-","43.47","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","206.47","4.00e-7","5.70e-8","-2.2","-","40.58","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","157.24","4.08e-7","6.10e-8","-2.2","-","37.68","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","83.71","2.82e-7","5.40e-8","-2.2","-","34.78","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","64.94","2.30e-7","5.10e-8","-2.2","-","31.87","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","117.65","3.72e-7","6.20e-8","-2.2","-","28.96","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","65.98","2.79e-7","5.70e-8","-2.2","-","26.04","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","80.62","2.84e-7","5.50e-8","-2.2","-","23.12","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","42.29","1.86e-7","5.10e-8","-2.2","-","20.20","1e-8","0","bin15.log"
