"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 06 2008","2454685","239716801","0","< 5.79e-8","-","-","-","118.15","1e-8","0","bin1.log"
"Aug 09 2008","2454688","239976001","0.71","< 7.18e-8","-","-","-","121.07","1e-8","0","bin2.log"
"Aug 12 2008","2454691","240235201","0","< 5.19e-8","-","-","-","123.99","1e-8","0","bin3.log"
"Aug 15 2008","2454694","240494401","2.09","< 9.92e-8","-","-","-","126.90","1e-8","0","bin4.log"
"Aug 18 2008","2454697","240753601","0.59","< 6.74e-8","-","-","-","129.81","1e-8","0","bin5.log"
"Aug 21 2008","2454700","241012801","4.03","4.09e-8","2.83e-8","-2.28","-","132.71","1e-8","0","bin6.log"
"Aug 24 2008","2454703","241272001","0.5","< 7.98e-8","-","-","-","135.60","1e-8","0","bin7.log"
"Aug 27 2008","2454706","241531201","9.36","6.18e-8","3.67e-8","-2.28","-","138.49","1e-8","0","bin8.log"
"Aug 30 2008","2454709","241790401","0","< 7.21e-8","-","-","-","141.36","1e-8","0","bin9.log"
"Sep 02 2008","2454712","242049601","0.39","< 9.11e-8","-","-","-","144.22","1e-8","0","bin10.log"
"Sep 05 2008","2454715","242308801","10.81","9.65e-8","4.43e-8","-2.28","-","147.07","1e-8","0","bin11.log"
"Sep 08 2008","2454718","242568001","0.01","< 8.03e-8","-","-","-","149.89","1e-8","0","bin12.log"
"Sep 11 2008","2454721","242827201","12.32","7.10e-8","3.29e-8","-2.28","-","152.70","1e-8","0","bin13.log"
"Sep 14 2008","2454724","243086401","4.25","4.34e-8","3.08e-8","-2.28","-","155.47","1e-8","0","bin14.log"
"Sep 17 2008","2454727","243345601","3.99","< 1.08e-7","-","-","-","158.21","1e-8","0","bin15.log"
"Sep 20 2008","2454730","243604801","7.25","5.78e-8","3.00e-8","-2.28","-","160.89","1e-8","0","bin16.log"
"Sep 23 2008","2454733","243864001","13.92","8.64e-8","3.73e-8","-2.28","-","163.49","1e-8","0","bin17.log"
"Sep 26 2008","2454736","244123201","2.8","< 9.40e-8","-","-","-","165.96","1e-8","0","bin18.log"
"Sep 29 2008","2454739","244382401","0.59","< 9.01e-8","-","-","-","168.24","1e-8","0","bin19.log"
"Oct 02 2008","2454742","244641601","8.6","7.76e-8","3.56e-8","-2.28","-","170.18","1e-8","0","bin20.log"
"Oct 05 2008","2454745","244900801","16.55","8.79e-8","3.43e-8","-2.28","-","171.55","1e-8","0","bin21.log"
"Oct 08 2008","2454748","245160001","27.95","1.40e-7","4.49e-8","-2.28","-","172.06","1e-8","0","bin22.log"
"Oct 11 2008","2454751","245419201","0","< 5.94e-8","-","-","-","171.54","1e-8","0","bin23.log"
"Oct 14 2008","2454754","245678401","1.8","< 9.27e-8","-","-","-","170.17","1e-8","0","bin24.log"
"Oct 17 2008","2454757","245937601","8.18","6.09e-8","3.34e-8","-2.28","-","168.23","1e-8","0","bin25.log"
"Oct 20 2008","2454760","246196801","4.47","5.74e-8","4.10e-8","-2.28","-","165.96","1e-8","0","bin26.log"
"Oct 23 2008","2454763","246456001","13.1","1.15e-7","5.05e-8","-2.28","-","163.49","1e-8","0","bin27.log"
"Oct 26 2008","2454766","246715201","30.78","1.94e-7","5.50e-8","-2.28","-","160.90","1e-8","0","bin28.log"
"Oct 29 2008","2454769","246974401","24.45","1.89e-7","5.60e-8","-2.28","-","158.24","1e-8","0","bin29.log"
"Nov 01 2008","2454772","247233601","18.2","9.56e-8","3.98e-8","-2.28","-","155.52","1e-8","0","bin30.log"
"Nov 04 2008","2454775","247492801","9.05","7.44e-8","3.58e-8","-2.28","-","152.76","1e-8","0","bin31.log"
"Nov 07 2008","2454778","247752001","3.91","< 1.09e-7","-","-","-","149.97","1e-8","0","bin32.log"
"Nov 10 2008","2454781","248011201","24.85","1.37e-7","4.10e-8","-2.28","-","147.16","1e-8","0","bin33.log"
"Nov 13 2008","2454784","248270401","37.6","1.56e-7","4.20e-8","-2.28","-","144.32","1e-8","0","bin34.log"
